text,label
This is the best birthday gift ever! Thank you for surprising me and আমাকে এত প্রিয় বোধ করার জন্য यह अब तक का सबसे अच्छा जन्मदिन उपहार है! मुझे आश्चर्यचकित करने और मुझे इतना प्यार महसूस कराने के लिए धन्यवाद। ইউ রিয়েলি ওতদিদ উরসেলভেস থিস টাইম! থ্যাংক ইউ ফর টি সুর্প্রীসে পার্টি এন্ড ফর বিয়িং টি বেস্ট ফ্রেন্ডস এভার. আমি আপনার thoughtfulness and kindness.  দ্বারা স্পর্শ করছি. surprise পার্টির জন্য এবং এমন চমৎকার বন্ধু হওয়ার জন্য আপনাকে thanks। main aap jaise doston ko paakar bahut bhaagyashaalee aur aabhaaree mahasoos karata hoon. shaanadaar sarapraij paartee aur janmadin ke dher saare pyaar ke lie dhanyavaad.,Happy
"I feel like I am onবিশ্বের শীর্ষে  right now - I finally received an প্রস্তাব  for my dream job!
 यह आधिकारिक तौर पर है! मुझे मेरे सपनों की नौकरी की पेशकश की गई है और मैं बिल्कुल खुश हूं! ই ক্যান হার্ডলি কোন্টাইন মই এক্সসিটেমেন্ট - ই জাস্ট গোৎ অফারেড ময় ড্রিম জব এন্ড ই ক্যান'ত বাইত তো স্টার্ট! 
আমি right now নিজেকে  pince করছি - আমি বিশ্বাস করতে পারছি না যে আমাকে আমার স্বপ্নের চাকরির প্রস্তাব দেওয়া হয়েছে! main muskuraana band nahin kar sakata - mujhe vah kaam mil gaya hai jo main hamesha se chaahata tha!",Happy
"The feeling of accomplishment after শেষ করার my first marathon is বর্ণনাতীত. I did it! 💪🏅
 क्या अद्भुत अनुभव है! मेरा पहला मैराथन आधिकारिक तौर पर किताबों में है और मैं इससे ज्यादा खुश या गर्वित नहीं हो सकता। 🏃‍♂️🏅 জাস্ট হোয়েন ই থট ই কোল্ডন'ত গ অন্য্ ফুর্থের, ই সুরপরিষেদ মাইসেলফ এন্ড ক্রসেড টি ফিনিশ লাইন অফ ময় ফার্স্ট ম্যারাথন! আজ আমার প্রথম ম্যারাথন endকরার জন্য pain এবং suspect মধ্য দিয়ে ঠেলে দেওয়ার জন্য আমি নিজেকে নিয়ে গর্বিত। 🙌 yah aasaan nahin tha, lekin mainne kiya! mainne apanee pahalee mairaathan pooree kee aur yah ek avishvasaneey ahasaas tha. raaste mein mera samarthan karane aur protsaahit karane vaale sabhee ko dhanyavaad. 🙏🏅",Happy
"My rescue dog is the সেরা জিনিস that ever happened to me. I'm grateful for the আনন্দ এবং সাহচর্য she brings to my life.
 मेरा नया बचाव कुत्ता मेरे जीवन में इतना प्यार और खुशी लेकर आया है। मैं अब उसके बिना जीवन की कल्पना नहीं कर सकता। আফটার মাস ওফঃ সার্চিং, বে ফিনালয় ফাউন্ড টি পারফেক্ট রেসকিউ ডগ তো এডপ্ট! সে'স অলরেডি বেকে আ বেলভেদ মেম্বার অফ আওয়ার ফ্যামিলি. আমার নতুন রেসকিউ dog আমার জীবনে অনেক love এবং happiness এনেছে। আমি এখন তাকে ছাড়া জীবন কল্পনা করতে পারি না। bachaav kutte ko apanaana mere jeevan ke sabase achchhe phaisalon mein se ek raha hai. main antaheen pyaar aur vaphaadaaree ke lie aabhaaree hoon jo mera pyaara dost har din pradaan karata hai.",Happy
"I'm officially ঋণমুক্ত! Just paid off my student loans and it feels amazing. অধ্যবসায় is key.
 बस एक प्रमुख वित्तीय मील का पत्थर तक पहुँच गया - मेरे छात्र ऋण का भुगतान जल्दी कर दिया! यहाँ वित्तीय स्वतंत्रता के लिए है। সেলিব্রেটিং টি এন্ড অফ যান ের - জাস্ট পেইড অফ ময় স্টুডেন্ট ল্যান্স! টাইম তো স্টার্ট আ নিউ চ্যাপ্টার ডেবিট- এইমাত্র একটি বড় আর্থিক  milestone পৌঁছেছে - আমার ছাত্র loan তাড়াতাড়ি পরিশোধ করা হয়েছে! এখানে আর্থিক স্বাধীনতা আছে. ek mahaan din hai! abhee-abhee apane chhaatr rn ka bhugataan kiya hai aur pooree mehanat aur samarpan ke lie khud par garv mahasoos kar raha hoon.",Happy
"Finally got the চাবি to our new বাড়ির! So excited to start making স্মৃতি in our new space. 🏡🔑💕 #HomeSweetHome #NewBeginnings
 ""मैं उस अद्भुत सपोर्ट सिस्टम के लिए आभारी हूं जिसने इस यात्रा के माध्यम से मेरी मदद की। हमेशा मेरे लिए रहने के लिए धन्यवाद। ❤️🙏 #आभारी #धन्य"" ""ই'ম থ্রিলড তো আন্নুন্স ্থাৎ ই'ভে অফিসিয়ালি কমপ্লেটেড ময় [লেংথ অফ টাইম] মেডিটেশন চ্যালেঞ্জ! ফিলিং মোর সেন্টারেড এন্ড গ্রাউন্ডেড ঠন্ এভার. ""বছরের পর বছর  saving and budgeting করার পর, আমি ঘোষণা করতে পেরে রোমাঞ্চিত যে আমি আমার ছাত্র ঋণ পরিশোধ করেছি! 🤑🎓💸 #Debtfree #FinancialFreedom"" ""main [gantavy] kee apanee haal kee yaatra par kee gaee avishvasaneey yaadon ke lie bahut aabhaaree hoon. vaapas jaane ke lie intajaar nahin kar sakata! 🌴✈🌊 #travailgoals #advainturai""",Happy
"Thankful for social media for reuniting me with myশৈশবের বন্ধুর . The power of friendship is truly আশ্চর্যজনক
 अपने बचपन के दोस्त से दोबारा जुड़कर मेरा दिल भर आया है। प्रौद्योगिकी की शक्ति के लिए बहुत आभारी। থ্যাংকফুল ফর সোশ্যাল মিডিয়া ফর লোউইং মি তো রেকংনেক্ট উইথ আ দেয়ার ফ্রেন্ড ফ্রম ময় পাস্ট. ক্যান'ত বাইত তো মেক নিউ মেমোরিজ  আমার শৈশবের বন্ধুর সাথে আবার সংযুক্ত হয়েছি ,Thankful to facebook .সব হারিয়ে সময় ধরার জন্য অপেক্ষা করতে পারেন না. aisa lagata hai ki mere bachapan ke dost se aakhiree baar baat kie hue koee samay nahin beeta hai. hamen phir se jodane ke lie soshal meediya ke lie bahut aabhaaree hoon.",Happy
"I can hardly contain my excitement! I won the art প্রতিযোগিতা  and couldn't be খুশি !
 मैं मुस्कुराना बंद नहीं कर सकता! कला प्रतियोगिता जीतने से मेरा साल बन गया है! আফটার ইয়ার্স অফ হার্ড ওয়ার্ক, ই'ম এসিস্ট্যাটিক তো হ্যাভ মই আর্টিস্টিক অবিলিটিজ রেকগনিজেদ উইথ থিস ইনক্রেডিবল বিন! এটি এমন একটি মুহূর্ত যা আমি কখনই ভুলব না: আমি শিল্প প্রতিযোগিতা জিতেছি! তাই thankful এবং ecxcited! main pooree mehanat aur drdh sankalp ke baad kala pratiyogita jeetakar bahut khush hoon!",Happy
"Feeling like a feeling blessed and grateful to they just found out that আমি was promoted and টাকা বেড়ে গেছে at work
 आज अविश्वसनीय रूप से धन्य महसूस कर रहा हूँ! मुझे अभी-अभी पदोन्नति मिली है और कार्यस्थल पर वेतनवृद्धि हुई है। सीखने और बढ़ने के अवसर के लिए आभारी। হার্ড ওয়ার্ক রিয়েলি পেস অফ! ই জাস্ট গোৎ প্রোমোটেড এন্ড গোৎ আ রইসে এত ময় জব. সো গ্র্যাটফুল ফর টি অপর্চুনিটি! hard work সত্যিই পরিশোধ করে! আমি সবেমাত্র পদোন্নতি পেয়েছি এবং আমার চাকরিতে একটি বৃদ্ধি পেয়েছি। সুযোগের জন্য তাই Thankfull! sapane sach hote hain! mujhe abhee-abhee padonnati milee hai aur kaam par vetan vrddhi huee hai. seekhane aur apanee bhoomika mein aage badhane ke lie bahut utsaahit hoon.",Happy
"Going to the Bali was what I need it to শক্তি বাড়ানো for আমার জন্য in this exotic কর্মরত days
 अपने सबसे करीबी दोस्तों के साथ यूरोप भर में एक अद्भुत सड़क यात्रा से लौटा। हमने नए शहरों की खोज की, अविश्वसनीय भोजन खाया और अविस्मरणीय यादें बनाईं। ফিলিং স গ্র্যাটফুল এন্ড ব্লেসেড তো হ্যাভ জাস্ট স্পেন্ট আ উইক ইন টি মালদিভস, শুরুন্ডেড বি ক্রিস্টাল ক্লিয়ার বাটর্স এন্ড ওহীতে সানডি বেয়াচেস. ইট ওয়াস ট্রুলি প্যারাডিসে. আমার সবচেয়ে close বন্ধুদের সাথে Europe জুড়ে একটি আশ্চর্যজনক রোড trip থেকে ফিরে এসেছি। আমরা নতুন শহর অন্বেষণ করেছি, অবিশ্বাস্য খাবার খেয়েছি এবং অবিস্মরণীয় স্মৃতি তৈরি করেছি। abhee italee ke ek paak daure se lauta hoon, jahaan mainne svaadisht paasta, pijja, jileto aur vain ka aanand liya. yah khaane ke shaukeen ka sapana sach ho gaya tha!",Happy
